year,family_ID,sex_person1,sex_person2,sex_person3,sex_person4,race_person1,race_person2,race_person3,race_person4,income_person1,income_person2,income_person3,income_person4
2021,31475,1,,,,white,,,,58300,,,
2021,31497,2,1,1,2,white,other,other,other,151000,52000,,
2021,31671,2,1,2,1,white,other,other,other,32000,48000,0,0
2021,31772,1,2,2,2,asian,asian,asian,asian,230000,18000,,
2021,31773,1,2,2,,white,white,white,,160000,240000,14400,
2021,31794,1,2,1,,black,other,other,,40000,1000,,
2021,31847,1,2,2,,white,other,other,,38600,11400,12700,
2021,31870,2,1,2,2,white,white,white,white,30000,0,,
2021,31987,1,2,1,1,white,other,other,other,10000,60000,,
2021,32005,2,1,,,white,white,,,18500,28300,,
2021,32286,1,,,,white,,,,1e+05,,,
2021,32398,2,1,1,1,white,white,white,white,0,5000,,50000
2021,32462,2,1,,,white,white,,,32000,35000,,
2021,32489,1,2,2,2,white,other,other,other,1e+05,28000,0,
2021,32564,1,,,,white,,,,1700,,,
2021,32732,1,2,2,2,other,other,other,other,36000,1200,11000,
2021,32737,1,2,,,white,white,,,104000,0,,
2021,32752,2,,,,white,,,,52100,,,
2021,32794,2,,,,native,,,,18000,,,
2021,33220,2,2,1,1,white,other,white,white,34000,48000,32950,40000
2021,33302,1,2,,,white,white,,,18300,54500,,
2021,33473,2,1,,,white,white,,,10000,11600,,
2021,33674,1,2,1,1,other,other,other,other,40400,0,0,
2021,33797,2,1,1,2,other,other,other,other,35000,56000,40000,9600
2021,33858,1,2,2,1,white,white,white,white,111000,0,,
2021,34084,2,1,,,white,white,,,55000,34500,,
2021,34186,2,,,,white,,,,31800,,,
2021,35073,1,2,,,white,white,,,210200,35100,,
2021,35140,2,,,,white,,,,54000,,,
2021,35261,2,1,2,1,white,white,white,white,0,45000,,
2021,35319,2,,,,white,,,,110000,,,
2021,35380,2,1,2,1,other,other,other,other,3600,5600,6000,28000
2021,35591,1,2,1,2,other,other,other,other,15000,0,15000,12000
2021,35647,2,1,,,other,white,,,34800,18000,,
2021,35716,1,2,1,,white,white,white,,85000,40000,0,
2021,35876,1,2,1,2,black,white,black,black,80000,0,,
2021,35954,1,2,1,1,other,other,other,other,80000,0,,
2021,36007,1,2,2,,white,other,white,,25000,24000,,
2021,36122,1,,,,asian,,,,47200,,,
2021,36782,2,1,2,,other,white,white,,39600,32000,,
2021,36847,1,2,,,white,white,,,134800,50000,,
2021,36936,1,2,2,1,white,white,white,white,206000,70000,4500,
2021,37029,2,,,,white,,,,2600,,,
2021,37104,2,1,,,white,white,,,62000,60000,,
2021,37476,2,2,2,,black,black,black,,62000,,,
2021,37633,1,2,,,white,white,,,28000,41800,,
2021,37635,2,1,2,1,asian,white,asian,other,1700,54000,43000,
2021,37698,1,2,2,2,white,white,white,white,55000,0,,
2021,37729,1,2,,,white,white,,,78000,12000,,
2021,37862,1,2,1,2,other,other,other,other,56000,0,16000,0
2021,38048,2,1,1,1,white,white,white,white,8000,55000,0,0
2021,38180,2,1,1,,white,white,white,,24000,21200,,
2021,38204,1,2,1,1,other,other,other,other,35000,0,8600,25000
2021,38298,1,2,1,1,white,white,white,white,845000,8000,0,
2021,38420,2,1,2,,native,native,native,,24100,13000,0,
2021,38442,1,2,1,2,asian,asian,asian,asian,125000,46300,,
2021,38463,2,1,,,white,white,,,110000,46800,,
2021,38493,2,2,1,2,other,other,other,other,52000,30000,,
2021,38520,2,,,,other,,,,12010,,,
2021,38621,1,2,,,white,white,,,46000,26800,,
2021,38671,1,2,,,white,white,,,53400,24000,,
2021,38676,1,1,1,,other,other,other,,18000,25000,0,
2021,38721,1,2,,,white,white,,,47800,13800,,
2021,38809,2,1,1,1,native,native,native,native,0,180000,1200,40300
2021,38856,2,1,1,,white,white,white,,44000,60000,21000,
2021,38890,2,1,2,1,other,other,other,other,25000,,,
2021,39033,2,1,2,,white,white,white,,51700,450000,,
2021,39058,1,2,,,white,white,,,120000,0,,
2021,39262,2,1,1,,white,white,white,,65000,496200,0,
2021,39276,1,2,1,,white,white,white,,30000,10000,,
2021,39322,2,1,,,white,white,,,32000,26700,,
2021,39497,1,2,,,white,white,,,23000,46000,,
2021,39687,2,2,1,1,white,white,white,white,5000,29000,23000,
2021,39865,1,2,2,,other,other,other,,104000,11300,,
2021,40164,2,1,1,2,white,other,white,white,12200,24000,,
2021,40303,2,1,,,white,white,,,23000,80000,,
2021,40658,1,,,,white,,,,85000,,,
2021,40697,2,1,2,2,white,white,white,white,0,495000,,
2021,40977,1,,,,white,,,,65000,,,
2021,41181,2,1,2,1,other,other,other,other,75000,,,
2021,41200,2,2,1,2,white,white,white,other,57000,50000,,
2021,41337,2,1,,,other,other,,,1e+05,0,,
2021,41436,2,2,,,other,other,,,43000,15000,,
2021,41630,1,,,,white,,,,37000,,,
2021,41650,1,2,1,2,native,native,native,native,21030,5500,25000,23000
2021,41769,1,2,1,1,white,other,other,other,43000,52000,,
2021,41783,1,2,,,white,white,,,93000,15000,,
2021,41789,2,1,2,,other,other,other,,16800,38900,15000,
2021,41801,2,2,,,white,white,,,12400,10700,,
2021,41889,2,1,1,1,other,white,other,other,103000,5000,50,0
2021,41904,2,1,,,other,other,,,30000,29000,,
2021,41924,2,1,2,2,other,white,other,other,35000,50000,,
2021,41962,1,2,2,,other,other,other,,90000,34000,0,
2021,41994,1,2,1,,white,white,white,,41080,27900,60100,
2021,42049,2,1,,,black,black,,,67500,37000,,
2021,42227,1,2,2,2,white,other,other,other,109800,48000,56800,26600
2021,42674,1,2,1,2,white,white,white,white,230000,495000,,
2021,42866,1,2,,,black,white,,,1e+05,36000,,
2021,43261,1,,,,white,,,,67000,,,
2021,43439,1,2,1,2,white,other,other,other,36000,0,28000,0
2021,43516,2,,,,white,,,,43300,,,
2021,43528,1,2,,,white,white,,,67000,0,,
2021,43533,1,2,,,white,white,,,20000,5000,,
2021,43572,2,1,2,1,black,black,black,black,35000,12000,59000,4800
2021,43668,2,,,,other,,,,37800,,,
2021,43705,1,1,1,,other,other,other,,36600,33100,60000,
2021,43725,1,2,2,2,white,white,white,white,23200,0,,
2021,43951,2,1,1,2,white,white,white,white,0,93000,,
2021,43953,1,2,2,1,white,other,other,other,50000,25000,,
2021,44023,1,1,1,,other,other,other,,85700,60000,38000,
2021,44043,1,2,1,,other,other,other,,33000,0,2300,
2021,44158,2,1,,,white,other,,,14000,27600,,
2021,44298,2,1,2,1,asian,asian,asian,white,7800,550,,0
2021,44553,2,1,2,1,white,white,white,white,0,40000,18000,11000
2021,44642,2,1,,,white,white,,,76500,75500,,
2021,44936,1,2,2,2,white,white,white,white,140000,7000,,
2021,45308,2,1,2,1,white,white,white,white,44900,72000,28000,
2021,45311,2,2,,,white,white,,,15600,35000,,
2021,45439,1,2,1,,white,white,other,,96000,35200,7200,
2021,45442,2,1,,,other,other,,,175000,55000,,
2021,45543,1,2,2,2,other,other,other,other,12100,10200,0,
2021,45568,2,1,,,white,white,,,16000,53400,,
2021,45615,2,1,,,other,other,,,38000,67000,,
2021,45679,2,1,2,2,white,other,white,other,60500,45000,,3800
2021,45680,1,2,2,2,other,other,other,native,495000,38000,1000,
2021,45732,1,2,1,,white,white,white,,28900,10000,28500,
2021,45928,2,1,,,white,white,,,99000,52000,,
2021,46110,1,2,,,white,white,,,4500,19000,,
2021,46142,1,2,1,2,white,white,white,white,88000,96000,,5000
2021,46567,1,2,,,other,other,,,29400,6600,,
2021,46583,2,,,,native,,,,6230,,,
2021,46649,1,2,1,,other,black,other,,55000,21000,,
2021,46739,1,2,1,,other,other,other,,50000,23000,24000,
2021,46967,1,2,2,1,other,other,other,other,63000,5000,,
2021,47248,2,1,,,other,white,,,42000,154000,,
2021,47313,1,,,,white,,,,59000,,,
2021,47387,1,2,,,white,other,,,15000,30000,,
2021,47453,2,2,1,1,native,native,native,other,15800,,,9700
2021,47478,1,2,2,1,white,white,white,white,55000,17000,0,30000
2021,47482,1,2,2,1,other,other,other,other,38000,15600,20000,44500
2021,47773,1,,,,white,,,,4000,,,
2021,47884,2,1,2,,other,other,other,,22000,15000,0,
2021,47978,2,1,1,2,white,other,other,other,70000,75000,,
2021,48050,1,2,,,white,white,,,31000,90000,,
2021,48337,2,1,,,white,white,,,1e+05,208000,,
2021,48379,2,1,2,1,white,white,white,white,40000,1000,17300,
2021,48725,1,2,,,white,white,,,148000,44100,,
2021,48809,2,1,,,white,white,,,54000,28800,,
2021,48857,2,1,1,,native,native,native,,0,14400,26600,
2021,49205,2,1,,,white,other,,,12000,,,
2021,49465,2,1,,,white,white,,,6900,14500,,
2021,49487,1,2,1,2,black,black,black,black,71000,37000,,
2021,49512,1,2,,,white,white,,,51300,13000,,
2021,49568,2,1,,,white,white,,,70000,38800,,
2021,49950,1,2,2,2,black,black,black,black,109200,107000,,
2021,50026,2,1,,,white,white,,,22000,0,,
2021,50417,2,1,1,1,other,other,other,other,0,32000,,
2021,50502,1,2,2,,white,white,white,,16000,0,,
2021,50604,2,1,1,2,asian,asian,asian,asian,0,35000,2100,0
2021,50605,2,1,1,1,white,white,white,white,6700,90000,,
2021,50632,1,2,1,,other,white,white,,39000,20000,9000,
2021,50740,1,2,1,2,white,white,white,white,253000,5000,,
2021,50798,1,2,2,2,white,white,white,white,28900,17300,8800,
2021,50829,2,1,2,1,other,other,other,other,32000,32000,,
2021,50882,2,,,,native,,,,32000,,,
2021,50945,2,1,2,2,other,other,other,other,81000,150000,,
2021,51152,1,2,1,,other,white,asian,,60000,300,,
2021,51166,2,1,,,white,other,,,82100,345000,,
2021,51618,2,1,,,other,white,,,150000,2e+05,,
2021,51684,2,,,,white,,,,1400,,,
2021,52219,2,2,,,white,other,,,85000,2400,,
2021,52250,1,2,1,1,white,white,white,white,400,120000,,
2021,52466,1,2,,,white,other,,,38900,37000,,
2021,52507,1,2,,,white,white,,,112000,83000,,
2021,52538,2,1,1,1,white,other,other,other,110000,71000,,
2021,52575,1,2,1,,other,other,other,,82000,40000,40000,
2021,52656,2,1,2,1,white,white,white,white,53200,52000,600,
2021,52661,1,2,1,1,white,other,white,white,130000,0,,
2021,52715,1,2,2,1,white,white,white,white,225000,0,,
2021,52809,1,2,1,1,white,white,white,white,77000,0,,
2021,53037,1,2,,,asian,asian,,,32000,65000,,
2021,53401,1,,,,black,,,,39000,,,
2021,53767,2,,,,white,,,,13910,,,
2021,54124,2,1,,,white,white,,,30400,10000,,
2021,54189,1,2,,,other,asian,,,75800,14000,,
2021,54194,2,1,1,1,white,white,white,white,0,55000,,
2021,54238,2,1,,,white,white,,,0,11700,,
2021,54264,2,1,,,white,white,,,50000,60000,,
2021,54413,1,2,,,white,other,,,75000,40000,,
2021,54456,2,1,2,1,native,native,native,native,24000,0,167000,
2021,54541,2,1,2,1,white,white,white,white,0,117000,10200,33000
2021,55278,2,2,2,,white,white,white,,27300,59600,26400,
2021,55291,2,1,,,white,white,,,7000,110000,,
2021,55322,2,1,1,1,native,native,native,native,0,0,0,
2021,55372,2,1,2,,white,white,white,,15000,62900,15000,
2021,55632,1,2,,,white,other,,,188400,31000,,
2021,55816,1,2,1,1,other,other,other,other,39200,14400,22000,0
2021,55966,2,2,2,1,white,white,white,other,66000,,,70000
2021,56043,2,1,,,white,white,,,27800,60300,,
2021,56073,1,1,,,white,other,,,19200,25000,,
2021,56375,1,,,,white,,,,0,,,
2021,56408,2,2,2,,other,other,other,,35000,2500,7200,
2021,56546,1,2,,,white,white,,,95000,171300,,
2021,57137,2,1,2,1,black,black,black,black,12000,-1900,,
2021,57514,1,2,1,2,native,native,native,native,7000,15000,0,12900
2021,57593,2,1,,,other,white,,,16300,21000,,
2021,57937,1,2,2,,white,white,white,,24000,0,24060,
2021,58041,1,2,,,white,white,,,28800,16600,,
2021,58105,1,2,2,2,black,black,black,black,420,0,,
2021,58106,2,1,2,1,other,other,other,other,32600,16800,22500,13400
2021,58162,1,,,,white,,,,0,,,
2021,58579,2,,,,other,,,,0,,,
2021,58723,1,,,,white,,,,0,,,
2021,59048,1,,,,black,,,,0,,,
2021,59114,1,,,,black,,,,0,,,
2021,59515,1,2,2,1,white,white,white,white,50000,12000,25000,5400
2021,59670,2,1,,,white,white,,,3300,16700,,
2021,59715,2,1,,,white,white,,,12500,0,,
2021,59807,2,,,,white,,,,14400,,,
2021,59834,2,1,1,,other,other,other,,60000,60000,,
2021,60171,2,1,1,,white,white,white,,23000,125000,0,
2021,60226,1,2,,,black,black,,,76600,23000,,
2021,60284,2,1,2,,white,white,white,,10800,1e+05,45000,
2021,60337,2,,,,white,,,,32500,,,
2021,60358,1,2,,,white,white,,,58200,22400,,
2021,60382,2,1,,,white,white,,,36000,30000,,
2021,60580,1,2,1,,white,white,white,,38000,20000,0,
2021,60831,2,1,,,white,white,,,35000,,,
2021,60880,1,2,,,white,white,,,20400,32600,,
2021,60892,1,2,2,2,white,white,white,white,1e+05,20000,600,
2021,61612,2,2,1,2,white,white,white,white,20000,,,
2021,61625,2,1,1,2,white,white,white,white,8400,35000,0,
2021,61634,2,1,2,2,white,other,other,other,7200,30000,,
2021,61652,2,1,,,black,white,,,27000,73000,,
2021,61665,1,1,1,1,white,white,white,white,12250,5060,9000,26000
2021,62059,1,2,2,2,asian,asian,asian,asian,85000,130000,27800,580
2021,62075,1,2,,,white,white,,,67700,0,,
2021,62250,1,2,1,1,white,white,white,white,19600,8100,30000,12000
2021,62311,1,1,,,black,black,,,25600,9960,,
2021,62598,1,2,,,white,white,,,1500,8500,,
2021,63073,1,2,,,white,white,,,11300,13000,,
2021,63332,2,1,1,2,white,white,white,white,55000,60000,15000,
2021,63410,2,,,,white,,,,27000,,,
2021,63656,1,2,,,white,white,,,84100,8200,,
2021,63661,1,2,1,,white,other,other,,77000,65000,0,
2021,63765,1,2,1,1,white,white,white,white,74000,30000,,0
2021,64145,1,2,2,,white,white,white,,48000,44000,,
2021,64191,1,2,1,,white,white,white,,390000,19400,15400,
2021,64290,2,1,,,other,white,,,91000,45600,,
2021,64299,2,1,2,1,white,other,other,other,47000,60000,0,
2021,64346,2,1,2,,white,other,white,,31200,1200,,
2021,64469,2,1,2,2,white,white,white,white,390000,65000,,
2021,64616,1,2,1,2,other,other,other,other,7300,13000,48000,31000
2021,64685,1,2,2,2,white,white,white,white,150000,50000,0,
2021,64774,2,1,,,white,white,,,12000,51000,,
2021,64783,1,,,,white,,,,1e+05,,,
2021,64804,1,,,,white,,,,9800,,,
2021,64972,2,1,2,1,asian,asian,asian,asian,42900,64000,0,
2021,65382,1,1,,,white,white,,,56000,5800,,
2021,65520,2,1,,,other,white,,,25000,40000,,
2021,65637,1,2,,,white,white,,,20000,0,,
2021,65774,2,1,2,1,black,black,black,black,40500,,,
2021,65849,2,,,,white,,,,50000,,,
2021,66048,2,2,1,1,asian,asian,asian,asian,2000,0,,
2021,66068,1,2,,,white,white,,,42000,46000,,
2021,66216,2,1,2,2,white,white,white,white,33000,45000,,
2021,66238,1,2,1,,white,white,white,,20400,21700,25000,
2021,66612,1,2,,,white,other,,,0,24000,,
2021,66637,1,2,1,1,white,white,white,white,65000,10000,0,
2021,66664,1,2,2,2,white,white,white,white,45000,15000,15000,
2021,66867,1,,,,white,,,,48000,,,
2021,66884,1,2,2,1,black,black,black,black,14400,12000,25000,
2021,66900,2,1,1,2,other,other,other,other,15000,20000,22000,24000
2021,66988,2,1,2,2,white,white,white,white,120000,58000,0,
2021,67175,2,2,1,,black,black,black,,18000,10500,,
2021,67427,2,1,1,2,white,other,white,white,0,56000,,
2021,67613,1,2,,,other,other,,,500,201000,,
2021,67640,1,1,2,1,white,white,white,white,11000,5000,,
2021,67720,1,1,2,,white,white,white,,19200,58000,39000,
2021,67859,2,1,2,2,white,white,white,white,22800,25000,,
2021,68045,1,2,,,white,white,,,54900,10400,,
2021,68077,2,2,1,,white,white,white,,14000,5900,38000,
2021,68197,1,,,,white,,,,150000,,,
2021,68325,2,1,1,2,white,white,white,white,38000,10400,,
2021,68337,1,2,2,1,white,white,white,white,40000,25500,0,0
2021,68408,1,2,,,white,white,,,144100,29510,,
2021,68454,1,2,,,white,white,,,17100,26400,,
2021,68674,2,1,1,1,native,white,native,native,64800,39000,2900,
2021,68728,1,2,2,2,white,white,white,white,31000,0,,
2021,68972,2,1,1,1,asian,asian,asian,asian,12000,12000,0,
2021,68991,2,,,,white,,,,19700,,,
2021,69099,2,1,,,black,black,,,22400,13400,,
2021,69105,2,,,,white,,,,17100,,,
2021,69372,2,1,2,1,white,white,white,white,70000,80000,,
2021,69420,1,1,1,1,white,white,white,white,110000,60000,60000,0
2021,69587,2,1,1,2,white,white,white,white,80000,60000,,
2021,69661,2,,,,white,,,,20100,,,
2021,69707,2,2,2,1,white,white,white,white,25000,,,
2021,70046,2,1,2,1,other,other,other,other,49500,,,
2021,70047,1,2,1,1,white,white,white,white,50150,250,17000,0
2021,70182,2,1,2,,white,white,white,,21100,15600,,
2021,70300,1,2,,,white,white,,,0,7200,,
2021,70340,2,1,,,white,white,,,49000,29000,,
2021,70575,2,1,2,,white,white,white,,6000,55000,17000,
2021,70708,1,2,,,white,white,,,25530,13400,,
2021,70760,2,1,,,white,white,,,18100,18600,,
2021,70783,2,1,2,2,white,white,white,white,0,9700,,
2021,70877,1,2,,,white,white,,,19600,36000,,
2021,70934,2,,,,white,,,,8600,,,
2021,71150,2,1,,,black,black,,,38000,56800,,
2021,71210,1,2,2,2,white,white,white,white,32000,0,,
2021,71218,2,1,,,white,white,,,35200,36500,,
2021,71227,2,1,2,,white,white,white,,18000,63000,0,
2021,71374,2,,,,white,,,,21600,,,
2021,71504,1,2,1,1,black,black,black,black,15400,0,12000,12000
2021,72579,1,,,,white,,,,0,,,
2021,72828,1,,,,black,,,,2200,,,
2021,72969,2,,,,white,,,,7500,,,
2021,73159,2,,,,white,,,,0,,,
2021,73409,2,,,,asian,,,,3200,,,
